City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
234,Christchurch,NZ,2020-04-29 19:51:45,-43.53,172.63,32.0,52,50,2.24,Clouds,0,0
235,Wiang Sa,TH,2020-04-29 19:53:10,8.64,99.37,77.07,84,100,0.38,Clouds,0,0
236,Sao Joao Da Barra,BR,2020-04-29 19:53:11,-21.64,-41.05,80.6,61,16,11.41,Clouds,0,0
237,Tandil,AR,2020-04-29 19:53:11,-37.32,-59.13,62.01,62,0,11.01,Clear,0,0
238,Khatanga,RU,2020-04-29 19:53:11,71.97,102.5,6.35,95,43,8.61,Clouds,0,0
239,Guspini,IT,2020-04-29 19:53:11,39.54,8.63,64.4,88,20,5.82,Clouds,0,0
240,Laguna,US,2020-04-29 19:53:11,38.42,-121.42,73.99,56,1,8.05,Clear,0,0
241,Taoudenni,ML,2020-04-29 19:53:12,22.68,-3.98,95.54,12,48,13.22,Clouds,0,0
242,Belogorsk,RU,2020-04-29 19:53:12,50.92,128.46,50.07,46,100,11.72,Clouds,0,0
243,Saint-Joseph,RE,2020-04-29 19:53:12,-21.37,55.62,73.4,64,40,13.87,Clouds,0,0
244,Lumeje,AO,2020-04-29 19:53:12,-11.55,20.78,66.13,38,0,4.14,Clear,0,0
245,Dandong,CN,2020-04-29 19:53:12,40.13,124.39,46.04,83,23,5.17,Clouds,0,0
246,Barrow,US,2020-04-29 19:53:13,71.29,-156.79,-9.4,100,1,5.82,Clear,0,0
247,Banfora,BF,2020-04-29 19:53:13,10.63,-4.77,87.84,41,100,3.83,Clouds,0,0
248,Radomir,BG,2020-04-29 19:53:01,42.54,22.96,59.0,67,75,3.36,Clouds,0,0
249,Kemang,ID,2020-04-29 19:53:13,-3.35,104.34,75.38,97,100,2.04,Rain,0,0
250,Husavik,IS,2020-04-29 19:53:13,66.04,-17.34,44.6,82,20,26.4,Clouds,0,0
251,Chapais,CA,2020-04-29 19:53:13,49.78,-74.85,51.8,29,20,14.99,Clouds,0,0
252,Superior,US,2020-04-29 19:53:13,46.72,-92.1,59.0,54,1,6.93,Clear,0,0
