City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
426,Borgarnes,IS,50.0,Clouds,64.54,-21.92,Hotel Hafnarfjall
427,Mayo,US,73.99,Clear,38.89,-76.51,Resorts Resource Group International
428,Tunggol,PH,80.02,Clouds,5.84,121.15,
429,Fort Nelson,CA,59.0,Clouds,58.81,-122.7,The Fort Nelson Hotel
430,Panguna,PG,69.85,Clouds,-6.32,155.48,
431,Namibe,AO,75.34,Clear,-15.2,12.15,Chik-Chik Namibe
432,Miedzyrzec Podlaski,PL,50.5,Clouds,51.99,22.78,Las Vegas. Usługi hotelarskie. Borkowicz B
433,Barra Patuca,HN,85.98,Clouds,15.8,-84.28,
434,Baghdad,IQ,66.2,Clouds,33.34,44.4,Baghdad Hotel
436,Yenotayevka,RU,54.99,Clear,47.25,47.03,Hotel Voyage
437,Birjand,IR,64.4,Clouds,32.87,59.22,ITTIC Birjand Tourist Hotel
438,Manavalakurichi,IN,84.2,Haze,8.13,77.3,Udaya Boys Hostel
439,Hearst,CA,51.78,Clouds,49.68,-83.67,Companion
440,Puga,MX,87.8,Clear,21.58,-104.82,
443,Muroto,JP,62.26,Clear,33.28,134.15,Oota Ryokan
444,Korhogo,CI,82.02,Rain,9.45,-5.63,Hotel Le Recul
445,Bulancak,TR,57.34,Clouds,40.94,38.23,Ada Loft Aparts
